name,full_name,number,pos,group
J. Schumacher,Jourdan Schumacher,0,GK,GK
O. Marshall,Olly Marshall,1,GK,GK
J. Barrett,James Barrett,2,D,DEF
J. Jordheim,Julian Jordheim,3,D,DEF
D. Toulson,Dan Toulson,4,D/MF,DEF
T. Nero,Ty Nero,5,D,DEF
I. Salifu,Issaka Salifu,6,MF,MID
C. Hughes,Caio Hughes,7,WB,ATT
E. White,Ezra White,8,MF,MID
P. Dashin,Pavel Dashin,9,F,ATT
L. Gill,Lennon Gill,10,F,ATT
M. Lenert,Matt Lenert,11,F,ATT
C. Crockford,Charlie Crockford,12,MF,MID
E. Goetzke,Ezequiel Emanuele Goetzke,14,MF,MID
S. Bendvold,Stian Bendvold,15,F,ATT
B. Baldwin,Ben Baldwin,16,D,DEF
R. Watson,Ryan Watson,17,D,DEF
H. Walker,Hogan Walker,18,MF,MID
B. Bagshaw,Ben Bagshaw,19,F,ATT
R. Ray,Ramsey Ray,20,WB,ATT
J. Neumann,Jack Neumann,21,W,ATT
B. Alibaruho,Bemanzi Alibaruho,22,MF,MID
N. Gold,Noah Gold,23,D,DEF
R. Cates,Reeves Cates,24,MF,MID
J. Watson,James Watson,25,D,DEF
A. Duran,Alessandro Duran,26,F/W,ATT
P. Killeen,Paul Killeen,27,MF,MID
C. Duske,Charlie Duske,28,GK,GK
